© 2000-2025 QIAGEN. All rights reserved.

Analysis	Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
Palbo14 vs Palbo3	SNAI1	0.725	transcription regulator	 	 	 	6.47E-03	FN1,MUC1,PTGS2,SMAD6	36 (12)
Palbo28 vs Cycling0	MPHOSPH8	 	transcription regulator	 	 	 	6.48E-03	PRKN	 
Palbo28 vs Cycling0	MACC1	 	transcription regulator	 	 	 	6.48E-03	FN1	 
Palbo28 vs Cycling0	MED4	 	transcription regulator	 	 	 	6.48E-03	HTRA1	 
Palbo14 vs Palbo3	CBFB	 	transcription regulator	 	 	 	6.54E-03	ERMN,HTRA1,WNT10B	 
Palbo14 vs Cycling0	MEF2D	 	transcription regulator	 	1.925	bias	6.56E-03	COL1A2,COL3A1,FN1,SOD3	77 (9)
Doxo21 vs Doxo3	ELK1	 	transcription regulator	 	 	 	6.59E-03	PRKN,PTGS2,THBS1	22 (7)
Palbo14 vs Palbo3	REST	 	transcription regulator	 	 	 	6.60E-03	JAM2,PTPRN,SNAP25,SYT7	 
Palbo3 vs Cycling0	MYF6	 	transcription regulator	 	 	 	6.61E-03	APLN,DCN,SPARC,TNFRSF11B	 
Palbo14 vs Palbo3	BARX2	 	transcription regulator	 	 	 	6.62E-03	HTRA1,TIMP3	 
Doxo14 vs Cycling0	HDAC2	 	transcription regulator	 	1.000	 	6.67E-03	COL1A1,COL1A2,DPT,TAGLN,TNFSF10	54 (10)
Palbo28 vs Cycling0	NFKB1	 	transcription regulator	Activated	2.155	bias	6.68E-03	CCL5,CHI3L1,COL1A2,FN1,FSCN1,PTGS2,TNFSF10	67 (19)
Doxo3 vs Cycling0	NEUROG1	 	transcription regulator	 	 	 	6.69E-03	MFAP4,S100A4,THBS1	 
Doxo3 vs Cycling0	SRA1	 	transcription regulator	 	 	 	6.71E-03	TGFB2,THBS1	 
Doxo3 vs Cycling0	SCX	 	transcription regulator	 	 	 	6.71E-03	SNAI1,TNC	 
Doxo14 vs Doxo3	MYF6	 	transcription regulator	 	 	 	6.72E-03	APLN,DLL1,THBS1	 
Doxo21 vs Cycling0	SIX1	 	transcription regulator	 	 	 	6.73E-03	ACTC1,LDHA,SGCD,TAGLN	 
Palbo28 vs Cycling0	EOMES	 	transcription regulator	 	0.000	 	6.74E-03	CEMIP,HOXA13,PDPN,TNFSF10	 
Doxo21 vs Cycling0	SIM1	 	transcription regulator	Inhibited	-2.236	bias	6.83E-03	DLL1,IGFBP4,SYT7,TCF7L1,TSC22D3	 
Doxo14 vs Cycling0	TRIM28	 	transcription regulator	 	 	 	6.84E-03	CTHRC1,EFEMP1,LMO7,S100A4,WNT10B	 
Doxo14 vs Cycling0	HTT	 	transcription regulator	Inhibited	-2.236	 	6.85E-03	C1R,CA12,DLL1,LDHA,LPCAT2,MFAP4,PDE7B,RAB17,SERPINH1,ST8SIA4,TAGLN,TGFBI,THBS2	 
Palbo14 vs Cycling0	SOX8	 	transcription regulator	 	 	 	6.89E-03	MYRF,SPARC	 
Doxo21 vs Doxo3	TRIM28	 	transcription regulator	 	 	 	6.92E-03	CCL5,CTHRC1,EFEMP1,SERPINE2	29 (7)
Palbo3 vs Cycling0	RAD21	 	transcription regulator	 	 	 	6.92E-03	PCDHA4,PCDHGA10,PCDHGB7	 
Palbo3 vs Cycling0	MPHOSPH8	 	transcription regulator	 	 	 	6.93E-03	PRKN	 
Doxo21 vs Doxo3	ECSIT	 	transcription regulator	 	 	 	6.94E-03	PTGS2,STAT5A	30 (6)
Doxo14 vs Cycling0	MED1	 	transcription regulator	 	 	 	6.94E-03	CCN5,GPAM,HILPDA,SELL,TET1,THBS1	 
Doxo3 vs Cycling0	VHL	 	transcription regulator	 	 	 	6.98E-03	CA12,CA9,FILIP1L,TAGLN,TNFSF10	 
Doxo21 vs Cycling0	ACTN4	 	transcription regulator	 	 	 	6.98E-03	DCN,SNAI1	 
Doxo14 vs Cycling0	BMI1	 	transcription regulator	 	 	 	6.99E-03	HOXA6,RASSF9,TGFB2,WNT10B	 
Doxo14 vs Cycling0	ZBTB33	 	transcription regulator	 	 	 	7.00E-03	S100A4,THBS1	 
Doxo21 vs Doxo3	FOXL2	 	transcription regulator	 	 	 	7.02E-03	HMCN1,PTGS2,SERPINE2	25 (7)
Palbo3 vs Cycling0	NCOR2	 	transcription regulator	 	 	 	7.05E-03	COL1A1,PTGS2,TGFB2,TGFB3	60 (13)
Palbo3 vs Cycling0	FHL2	 	transcription regulator	Activated	2.000	bias	7.05E-03	PDGFRB,TGFB2,TGFB3,WNT10B	47 (7)
Palbo3 vs Cycling0	KLF15	 	transcription regulator	 	 	 	7.05E-03	CEBPD,DDIT4,LUM,TNFSF10	55 (7)
Palbo14 vs Palbo3	TAF4B	 	transcription regulator	 	 	 	7.07E-03	FN1,TGFB3	 
Doxo14 vs Doxo3	CUX1	 	transcription regulator	 	 	 	7.07E-03	CCL5,CCN5,THBS1	 
Palbo14 vs Cycling0	POU5F1	 	transcription regulator	 	1.155	bias	7.09E-03	ANGPT1,CCL5,EFEMP1,KRT18,LOXL1,PECAM1,SNAI1,TET1,TNFRSF11B,TNFSF10	91 (11)
Doxo14 vs Doxo3	BNC2	 	transcription regulator	 	 	 	7.14E-03	COL1A1	 
Doxo14 vs Doxo3	RFX7	 	transcription regulator	 	 	 	7.14E-03	DDIT4	 
Doxo14 vs Doxo3	TAF5L	 	transcription regulator	 	 	 	7.14E-03	PRKN	 
Palbo14 vs Cycling0	MTDH	 	transcription regulator	 	 	 	7.19E-03	ACTC1,ANGPT1,CCN4,CFH,HTRA1,SERPINE1	 
Doxo3 vs Cycling0	SMAD2	 	transcription regulator	 	-1.693	bias	7.19E-03	CARMN,SERPINE1,SNAI1,THBS1	55 (16)
Doxo3 vs Cycling0	SNAI2	 	transcription regulator	 	0.849	 	7.19E-03	MIR210HG,MUC1,SNAI1,TAGLN	 
Doxo21 vs Doxo3	ARNT	 	transcription regulator	 	 	 	7.21E-03	GAS1,ID2,PCDH18,SERPINE1	 
Doxo14 vs Cycling0	SATB2	 	transcription regulator	 	 	 	7.24E-03	EFEMP1,NNMT,PIEZO2	 
Palbo3 vs Cycling0	NFAT5	 	transcription regulator	 	-0.651	 	7.28E-03	CCL5,CCN4,COL1A1,COL1A2,DDIT4,HSPA2,PTGS2,TNFRSF11B,TNFSF10	59 (11)
Palbo28 vs Cycling0	HIC1	 	transcription regulator	 	 	 	7.31E-03	CA12,SNAP25,TMEM47	 
Palbo28 vs Cycling0	NAB2	 	transcription regulator	 	 	 	7.35E-03	FN1,TNFSF10	 
Doxo21 vs Doxo3	TEAD1	 	transcription regulator	Inhibited	-2.000	 	7.36E-03	COL3A1,PCDH18,PTGS2,THBS1	27 (9)
Doxo14 vs Doxo3	GLIS1	 	transcription regulator	 	 	 	7.36E-03	CHI3L1,EFEMP1	 
Palbo14 vs Palbo3	MYOCD	 	transcription regulator	 	 	 	7.37E-03	ECM2,FN1,LMOD1	 
Palbo28 vs Palbo3	SFMBT1	 	transcription regulator	 	 	 	7.39E-03	APLN,PDK1	 
Doxo21 vs Doxo3	LHX2	 	transcription regulator	 	 	 	7.43E-03	NCAM2,RARRES2	 
Doxo21 vs Doxo3	HLTF	 	transcription regulator	 	 	 	7.43E-03	ADGRE1,SERPINE1	18 (3)
Doxo14 vs Cycling0	FHL2	 	transcription regulator	 	-0.594	bias	7.45E-03	PDGFRB,TAGLN,TGFB2,WNT10B	 
Doxo14 vs Cycling0	CUX1	 	transcription regulator	 	 	 	7.45E-03	CCN5,DPYSL3,SNAI1,THBS1	 
Palbo14 vs Cycling0	ETV5	 	transcription regulator	 	0.000	 	7.48E-03	CCL5,CHI3L1,FN1,NCAM2,TIMP3	52 (6)
Doxo21 vs Cycling0	TBX3	 	transcription regulator	 	-1.000	bias	7.50E-03	DCN,GJA1,GPAM,PDE7B,SNAI1	 
Doxo21 vs Cycling0	NKX2-3	 	transcription regulator	 	0.447	 	7.50E-03	CBS,F2RL1,MAP2,SERPINE2,TCIM	 
Doxo21 vs Doxo3	GATA4	 	transcription regulator	 	 	 	7.50E-03	COL3A1,CTHRC1,FAP,GAS1,PTGS2	6 (3)
Palbo3 vs Cycling0	IRX5	 	transcription regulator	 	 	 	7.55E-03	KCND2,TNFSF10	 
Palbo14 vs Palbo3	ESRRA	 	transcription regulator	 	1.303	bias	7.58E-03	APLN,HSPB6,LDHA,PDK1,PTGS2,TGFB3	 
Doxo14 vs Cycling0	ZNF281	 	transcription regulator	 	 	 	7.60E-03	COL1A1,SNAI1,THBS1	 
Palbo3 vs Cycling0	ETS1	 	transcription regulator	 	-0.277	bias	7.66E-03	CCL5,COL1A2,IKZF2,ITGA10,PTGS2,TGFB2	58 (12)
Palbo14 vs Palbo3	POU5F1	 	transcription regulator	 	0.429	bias	7.67E-03	CCL5,CHST15,EFEMP1,LDHA,TGFB3,TNFRSF11B	10 (2)
Doxo14 vs Doxo3	TBXT	 	transcription regulator	 	 	 	7.77E-03	COL1A1,DLL1	 
Doxo14 vs Cycling0	IRX5	 	transcription regulator	 	 	 	7.79E-03	KCND2,TNFSF10	 
Palbo3 vs Cycling0	POU5F1	 	transcription regulator	 	0.277	bias	7.80E-03	ANGPT1,CCL5,KRT18,TET1,TGFB2,TGFB3,TNFRSF11B,TNFSF10	56 (8)
Palbo14 vs Cycling0	STAT4	 	transcription regulator	Activated	2.635	bias	7.80E-03	ANGPTL6,FSCN1,HILPDA,KRT18,PDK1,RCN3,SERPINE1	77 (7)
Palbo28 vs Palbo3	BNC2	 	transcription regulator	 	 	 	7.81E-03	COL1A1	 
Palbo28 vs Palbo3	TAF5L	 	transcription regulator	 	 	 	7.81E-03	PRKN	 
Palbo14 vs Palbo3	TAF4	 	transcription regulator	 	 	 	7.81E-03	DCN,LUM,TGFB3	 
Doxo21 vs Cycling0	SOX1	 	transcription regulator	 	 	 	7.85E-03	CHST15,EFEMP1,PCDH18	 
Palbo14 vs Cycling0	PRDM16	 	transcription regulator	 	 	 	7.85E-03	CCL5,COL3A1,DCN,SERPINE1	 
Doxo3 vs Cycling0	DLX1	 	transcription regulator	 	 	 	7.88E-03	EDIL3,SERPINE1,SNAI1	 
Doxo3 vs Cycling0	OTX2	 	transcription regulator	 	 	 	7.88E-03	OPN1SW,SEMA3C,TNC	 
Doxo21 vs Doxo3	PPARGC1A	 	transcription regulator	 	1.766	 	7.92E-03	DCN,DPT,LUM,PTGS2,PTPRN,SERPINE2,SYT7	 
Doxo21 vs Doxo3	NFATC4	 	transcription regulator	 	 	 	7.94E-03	COL3A1,KCND2	 
Doxo21 vs Doxo3	IRF5	 	transcription regulator	 	 	 	7.95E-03	CCL5,COL3A1,PTGS2	32 (11)
Doxo21 vs Doxo3	FOXO3	 	transcription regulator	 	 	 	7.96E-03	APLN,DDIT4,DEPP1,IKZF2,SERPINE1,TCIM	32 (7)
Palbo14 vs Cycling0	DACH1	 	transcription regulator	 	 	 	7.96E-03	EFEMP1,PTGS2,SERPINE1	 
Palbo3 vs Cycling0	LDB1	 	transcription regulator	Activated	2.449	 	7.98E-03	ANGPT1,EFEMP2,GIMAP8,SPARC,STAT5A,TGFB2,TNS2	 
Palbo3 vs Cycling0	FUS	 	transcription regulator	 	 	 	7.99E-03	PRKN,PTGS2,SLC44A2,VTN	 
Palbo14 vs Cycling0	LCOR	 	transcription regulator	 	 	 	7.99E-03	IGFBP4,MUC1	 
Palbo28 vs Cycling0	FOSL2	 	transcription regulator	 	 	 	7.99E-03	COL1A2,FN1,LUM	 
Palbo3 vs Cycling0	NFYC	 	transcription regulator	 	 	 	8.00E-03	COL1A1,COL1A2,PDGFRB	 
Palbo28 vs Cycling0	RELA	 	transcription regulator	 	1.731	bias	8.00E-03	CBS,CCL5,CHI3L1,COL1A2,FN1,FSCN1,LUM,PTGS2,TNFRSF11B	71 (20)
Palbo14 vs Palbo3	NOSTRIN	 	transcription regulator	 	 	 	8.02E-03	CCL5,FN1	 
Doxo3 vs Cycling0	ACTN4	 	transcription regulator	 	 	 	8.03E-03	SERPINE1,SNAI1	34 (7)
Doxo14 vs Cycling0	NFAT5	 	transcription regulator	 	0.290	 	8.05E-03	COL1A1,COL1A2,DDIT4,HSPA2,PTGFRN,S100A4,TAGLN,TNFRSF11B,TNFSF10	38 (4)
Doxo14 vs Cycling0	NANOG	 	transcription regulator	 	0.105	 	8.08E-03	COL3A1,SMAD6,TET1,TGFB2,THBS2	 
Palbo28 vs Cycling0	FOXK2	 	transcription regulator	 	 	 	8.09E-03	PDK1,SERPINE1	 
Palbo28 vs Cycling0	SCX	 	transcription regulator	 	 	 	8.09E-03	TIMP3,TNC	 
Palbo3 vs Cycling0	MEF2C	 	transcription regulator	 	-1.977	bias	8.12E-03	COL1A1,COL1A2,COL3A1,ECM2,PTGS2	41 (9)
Doxo14 vs Doxo3	ATOH1	 	transcription regulator	 	 	 	8.18E-03	DLL1,GAS1	 
Doxo3 vs Cycling0	SOX4	 	transcription regulator	 	-0.730	bias	8.18E-03	MAGI1,PLXND1,SELL,SEMA3C,SERPINE1	 
Palbo14 vs Cycling0	MEF2C	 	transcription regulator	 	-1.183	bias	8.21E-03	ACTC1,COL1A2,COL3A1,ECM2,FAP,PTGS2	27 (4)
Doxo14 vs Doxo3	NKX2-3	 	transcription regulator	 	-1.000	 	8.22E-03	CBS,F2RL1,SERPINE2,TCIM	 
Palbo3 vs Cycling0	EP300	 	transcription regulator	Activated	2.194	bias	8.26E-03	ANGPT1,COL1A1,COL1A2,COL3A1,MMP11,PDGFRB,PTGS2,TGFB2,TSC22D3	78 (23)
Palbo14 vs Palbo3	ILF3	 	transcription regulator	 	 	 	8.26E-03	CFH,CHI3L1,TNC	 
Palbo14 vs Palbo3	NKX2-1	 	transcription regulator	 	 	 	8.29E-03	ENPP2,INMT,RNASE4,TNC	 
Palbo28 vs Cycling0	STAT2	 	transcription regulator	 	 	 	8.34E-03	CCL5,IFITM2,TNFSF10	27 (7)
Palbo28 vs Cycling0	RFX1	 	transcription regulator	 	 	 	8.34E-03	CCL5,CHI3L1,COL1A2	31 (7)
Palbo3 vs Cycling0	HOXD13	 	transcription regulator	 	 	 	8.35E-03	ANGPT1,COL5A2	 
Palbo3 vs Cycling0	RFX5	 	transcription regulator	 	 	 	8.35E-03	COL1A1,COL1A2	 
Doxo14 vs Cycling0	NFYC	 	transcription regulator	 	 	 	8.36E-03	COL1A1,COL1A2,PDGFRB	8 (2)
Palbo28 vs Palbo3	WWTR1	 	transcription regulator	 	 	 	8.37E-03	COL1A1,CTHRC1,EFNA3,VCAN	 
Palbo28 vs Cycling0	KLF4	 	transcription regulator	 	-0.120	bias	8.38E-03	ANGPT1,CHST15,COL1A2,FN1,SERPINE1,TNC,TNFSF10	59 (18)
Palbo14 vs Palbo3	TAF5L	 	transcription regulator	 	 	 	8.40E-03	PRKN	 
Palbo14 vs Palbo3	PEX14	 	transcription regulator	 	 	 	8.40E-03	PTGS2	 
Palbo14 vs Palbo3	PRDM1	 	transcription regulator	 	1.342	 	8.40E-03	CA9,CFH,CHI3L1,SPRY1,TNFAIP6	 
Doxo3 vs Cycling0	CREB1	 	transcription regulator	 	0.000	bias	8.40E-03	CDH11,EDIL3,KCND2,LAYN,NRP2,PDE1C,RGS2,SMAD6,ZFP36	34 (5)
Palbo3 vs Cycling0	FOXA1	 	transcription regulator	 	0.447	bias	8.41E-03	DDIT4,PDGFRB,PPFIA4,STAT5A,TGFB3,TPM2	22 (3)
Doxo21 vs Doxo3	MEF2C	 	transcription regulator	 	 	 	8.45E-03	COL3A1,FAP,PTGS2,THBS1	6 (3)
Palbo14 vs Palbo3	SFMBT1	 	transcription regulator	 	 	 	8.51E-03	APLN,PDK1	 
Doxo3 vs Cycling0	NFAT5	 	transcription regulator	 	0.063	 	8.58E-03	ADGRE1,HSPA2,JAM2,S100A4,TAGLN,TNC,TNFRSF11B,TNFSF10	 
Doxo14 vs Doxo3	GLI3	 	transcription regulator	 	 	 	8.58E-03	CCL5,COL1A1,DLL1	 
Doxo14 vs Doxo3	CBX3	 	transcription regulator	 	 	 	8.60E-03	PRKN,STAT5A	 
Palbo14 vs Cycling0	SIRT1	 	transcription regulator	 	-0.543	bias	8.60E-03	APLN,CA12,CCL5,DBP,FN1,NCAM2,P3H3,SERPINE1,SLC12A8,SOD3,TIMP3	100 (22)
Doxo14 vs Cycling0	RFX5	 	transcription regulator	 	 	 	8.61E-03	COL1A1,COL1A2	 
Palbo28 vs Cycling0	ETV5	 	transcription regulator	 	0.000	 	8.75E-03	CCL5,CHI3L1,FN1,TIMP3	26 (5)
Doxo21 vs Cycling0	TFEB	 	transcription regulator	 	 	 	8.77E-03	COL1A1,DCN,DUSP2,PDGFRB,ST8SIA4,TAGLN,VCAN	41 (7)
Palbo28 vs Palbo3	STAT1	 	transcription regulator	 	-0.277	 	8.83E-03	C4B,COL1A1,EGLN3,PDGFRB,TNC,TNFSF10	15 (3)
Doxo3 vs Cycling0	MAFB	 	transcription regulator	 	0.528	 	8.85E-03	ADGRE1,DEPP1,EFNA3,TAGLN	 
Doxo3 vs Cycling0	USF2	 	transcription regulator	 	 	 	8.86E-03	SERPINE1,SPEG,THBS1	 
Doxo3 vs Cycling0	IKZF3	 	transcription regulator	 	 	 	8.86E-03	DEPP1,SCN9A,SELL	 
Palbo14 vs Cycling0	BMAL1	 	transcription regulator	 	-0.762	 	8.91E-03	ANGPT1,DBP,EGLN3,ITGB8	 
Doxo21 vs Doxo3	RFX7	 	transcription regulator	 	 	 	8.92E-03	DDIT4	 
Doxo21 vs Doxo3	TAF5L	 	transcription regulator	 	 	 	8.92E-03	PRKN	 
Doxo21 vs Doxo3	ING2	 	transcription regulator	 	 	 	8.92E-03	SERPINE1	 
Doxo21 vs Doxo3	PEX14	 	transcription regulator	 	 	 	8.92E-03	PTGS2	 
Palbo14 vs Cycling0	NFAT5	 	transcription regulator	 	0.362	 	8.98E-03	CCL5,CCN4,COL1A2,DDIT4,JAM2,PECAM1,PTGS2,TAGLN,TNC,TNFRSF11B,TNFSF10	95 (17)
Palbo28 vs Cycling0	HDAC3	 	transcription regulator	 	 	 	8.99E-03	COL1A2,PTGS2,RNASE4,SERPINE1	39 (14)
Doxo21 vs Cycling0	RELA	 	transcription regulator	 	-1.226	bias	9.05E-03	CBS,COL1A1,LUM,NNMT,SCN9A,SERPINE2,SNAI1,TNFRSF11B	72 (17)
Palbo28 vs Cycling0	SIN3A	 	transcription regulator	 	 	 	9.08E-03	COL1A2,PTGS2,SERPINE1	49 (15)
Palbo14 vs Cycling0	MZF1	 	transcription regulator	 	 	 	9.16E-03	SELL,SOD3	 
Palbo3 vs Cycling0	ZNFX1	 	transcription regulator	 	 	 	9.19E-03	CCL5,TGFB3	 
Palbo3 vs Cycling0	CREB3L1	 	transcription regulator	 	 	 	9.19E-03	COL1A1,COL1A2	 
Palbo14 vs Palbo3	RUNX1	 	transcription regulator	 	 	 	9.23E-03	ADAMTSL4,CHI3L1,FN1,FSCN1,LUM	26 (7)
Palbo28 vs Cycling0	CEBPB	 	transcription regulator	 	1.933	bias	9.32E-03	APLN,CCL5,COL1A2,DCN,FHL1,FN1,INMT,PTGS2,SERPINE1,TNC	69 (23)
Doxo21 vs Doxo3	SOX2	 	transcription regulator	 	1.709	 	9.39E-03	CCL5,CCN5,EFEMP1,ID2,LIMS2,PCDH18,SERPINE1	 
Doxo14 vs Cycling0	SRA1	 	transcription regulator	 	 	 	9.48E-03	TGFB2,THBS1	61 (7)
Doxo14 vs Cycling0	SCX	 	transcription regulator	 	 	 	9.48E-03	COL1A1,SNAI1	 
Doxo14 vs Cycling0	CREB3L1	 	transcription regulator	 	 	 	9.48E-03	COL1A1,COL1A2	 
Doxo14 vs Cycling0	GLI3	 	transcription regulator	 	-1.000	 	9.51E-03	COL1A1,DLL1,DUSP2,TGFB2	 
Doxo3 vs Cycling0	SOX1	 	transcription regulator	 	 	 	9.55E-03	CHST15,EFEMP1,TGFB2	 
Doxo21 vs Cycling0	MTA3	 	transcription regulator	 	 	 	9.55E-03	ACTC1,SNAI1	 
Doxo21 vs Cycling0	FOXF2	 	transcription regulator	 	 	 	9.55E-03	ACTG2,TAGLN	 
Palbo28 vs Cycling0	ACTN4	 	transcription regulator	 	 	 	9.66E-03	DCN,SERPINE1	 
Palbo28 vs Palbo3	FOS	 	transcription regulator	 	1.131	 	9.71E-03	APLN,COL1A1,HAS1,LDHA,PAOX,PTPRN,TNFRSF11B	 
Palbo14 vs Cycling0	MACC1	 	transcription regulator	 	 	 	9.76E-03	FN1	 
Palbo14 vs Cycling0	MED4	 	transcription regulator	 	 	 	9.76E-03	HTRA1	 
Palbo28 vs Palbo3	NFKBIA	 	transcription regulator	 	0.179	 	9.77E-03	FSCN1,HAS1,TIMP3,TNC,TNFRSF11B,TNFSF10	45 (13)
Palbo14 vs Palbo3	E2F3	 	transcription regulator	 	-1.000	bias	9.89E-03	AKR1C2,CA12,JAM2,TIMP3	 
Doxo3 vs Cycling0	SPDEF	 	transcription regulator	 	 	 	9.90E-03	CDH11,SERPINE1,TNC	31 (5)
Palbo14 vs Palbo3	NCOA3	 	transcription regulator	 	 	 	9.97E-03	LDHA,MUC1,PTGS2	40 (11)
Palbo28 vs Palbo3	QKI	 	transcription regulator	 	 	 	9.97E-03	FSCN1,TNC,TNFSF10	 
Palbo3 vs Cycling0	STAT2	 	transcription regulator	 	 	 	1.00E-02	CCL5,IFITM2,TNFSF10	55 (7)
Doxo14 vs Doxo3	TEAD4	 	transcription regulator	 	 	 	1.01E-02	COL3A1,PCDH18,THBS1	 
Doxo3 vs Cycling0	TBX3	 	transcription regulator	 	-1.387	bias	1.01E-02	GPAM,KCND2,SNAI1,TGFB2,TNC	 
Doxo21 vs Cycling0	YBX1	 	transcription regulator	 	-1.131	bias	1.01E-02	COL1A1,EFEMP1,PDGFRB,SNAI1	 
Doxo21 vs Cycling0	ERG	 	transcription regulator	 	-1.053	bias	1.01E-02	FHL1,HSD17B6,RHOJ,SNAI1,TGFB1I1,THBS1,TSC22D3	 
Palbo3 vs Cycling0	NKX2-1	 	transcription regulator	 	 	 	1.01E-02	EDIL3,INMT,PCDHA4,PDPN,TGFB2	 
Palbo14 vs Cycling0	RUNX1	 	transcription regulator	 	1.944	bias	1.01E-02	ADAMTSL4,CHI3L1,COL1A2,FAP,FN1,FSCN1,LUM,SERPINE1	 
Doxo3 vs Cycling0	BRD7	 	transcription regulator	 	 	 	1.02E-02	SERPINE1,VCAN	 
Palbo28 vs Palbo3	CBX3	 	transcription regulator	 	 	 	1.02E-02	PRKN,STAT5A	 
Doxo14 vs Cycling0	TFEB	 	transcription regulator	 	 	 	1.03E-02	COL1A1,DUSP2,ITGA11,PDGFRB,SPARC,ST8SIA4,TAGLN,VCAN	 
Doxo14 vs Cycling0	SIN3B	 	transcription regulator	 	 	 	1.04E-02	COL1A2,LDHA	 
Palbo14 vs Cycling0	KLF17	 	transcription regulator	 	 	 	1.04E-02	FN1,TNFSF10	 
Palbo14 vs Cycling0	PIAS4	 	transcription regulator	 	 	 	1.04E-02	ITGB8,SERPINE1	 
Palbo28 vs Palbo3	EOMES	 	transcription regulator	 	 	 	1.05E-02	CEMIP,HOXA13,TNFSF10	 
Palbo14 vs Cycling0	FOXL2	 	transcription regulator	 	 	 	1.05E-02	HMCN1,PTGS2,SERPINE2,SPRY1	 
Palbo14 vs Cycling0	FEV	 	transcription regulator	Activated	2.000	bias	1.05E-02	CNTN1,HTRA1,JAM2,VTN	 
Palbo14 vs Palbo3	BMI1	 	transcription regulator	 	 	 	1.05E-02	P4HA1,RASSF9,WNT10B	 
Palbo14 vs Cycling0	FOXM1	 	transcription regulator	 	1.446	bias	1.06E-02	CCL5,FN1,PECAM1,PTCH2,SNAI1,VCAN	 
Palbo28 vs Palbo3	STAT5A	-1.681	transcription regulator	 	 	 	1.06E-02	CEMIP,EGLN3,HOXA13,RIMKLA,STAT5A	 
Doxo14 vs Doxo3	ATXN7L3	 	transcription regulator	 	 	 	1.07E-02	PRKN	 
Doxo14 vs Doxo3	DDX54	 	transcription regulator	 	 	 	1.07E-02	CCN5	 
Doxo14 vs Doxo3	CUX2	 	transcription regulator	 	 	 	1.07E-02	DLL1	 
Doxo21 vs Doxo3	HOXC8	 	transcription regulator	 	 	 	1.07E-02	CDH11,GAS1	 
Doxo21 vs Doxo3	MECOM	 	transcription regulator	 	 	 	1.07E-02	DCN,SERPINE1	 
Doxo3 vs Cycling0	POU5F1	 	transcription regulator	 	-1.442	bias	1.07E-02	CHST15,EFEMP1,LOXL1,SNAI1,TGFB2,TNFRSF11B,TNFSF10	 
Doxo21 vs Cycling0	GMNN	 	transcription regulator	 	 	 	1.07E-02	CHST15,EFEMP1,PCDH18	 
Palbo3 vs Cycling0	HMGA1	 	transcription regulator	 	1.387	bias	1.08E-02	COL1A1,COL1A2,PTGS2,SLC17A5,SPARC	 
Doxo14 vs Cycling0	NKX2-1	 	transcription regulator	 	 	 	1.08E-02	EDIL3,INMT,SNAI1,TGFB2,THBS1	 
Palbo14 vs Cycling0	BTG2	 	transcription regulator	 	 	 	1.09E-02	FN1,IGFBP4,SERPINE1	 
Palbo3 vs Cycling0	SIN3A	 	transcription regulator	 	 	 	1.09E-02	COL1A1,COL1A2,PTGS2	 
Doxo21 vs Cycling0	BNC2	 	transcription regulator	 	 	 	1.09E-02	COL1A1	 
Doxo21 vs Cycling0	RFX7	 	transcription regulator	 	 	 	1.09E-02	DDIT4	 
Doxo21 vs Cycling0	ZNF366	 	transcription regulator	 	 	 	1.09E-02	TSC22D3	 
Palbo28 vs Palbo3	GLI3	 	transcription regulator	 	 	 	1.09E-02	COL1A1,DUSP2,HOXA13	 
Doxo3 vs Cycling0	DTX1	 	transcription regulator	 	 	 	1.10E-02	SNAI1,TGFB2	 
Doxo3 vs Cycling0	FOXF2	 	transcription regulator	 	 	 	1.10E-02	ACTG2,TAGLN	 
Doxo21 vs Cycling0	LHX2	 	transcription regulator	 	 	 	1.10E-02	COL1A1,RARRES2	 
Doxo21 vs Cycling0	HEXIM1	 	transcription regulator	 	 	 	1.10E-02	AKR1C3,COL1A1	 
Doxo21 vs Cycling0	BARX2	 	transcription regulator	 	 	 	1.10E-02	CTHRC1,SERPINE2	 
Palbo28 vs Cycling0	EGR1	 	transcription regulator	Activated	2.198	bias	1.10E-02	COL1A2,FN1,PTGS2,SERPINE1,TNFSF10	 
Palbo3 vs Cycling0	HTATIP2	 	transcription regulator	 	 	 	1.10E-02	ANGPT1,SPARC	 
Doxo21 vs Cycling0	HDAC4	 	transcription regulator	 	 	 	1.10E-02	LDHA,RGS2,TAGLN,TNFRSF11B	 
Palbo28 vs Cycling0	NFATC3	 	transcription regulator	 	 	 	1.11E-02	ANGPT1,DDIT4,PTGS2	 
Palbo28 vs Cycling0	ZEB1	 	transcription regulator	 	-0.064	 	1.11E-02	COL1A2,FN1,PTGS2,SERPINE1	 
Doxo21 vs Doxo3	JUN	 	transcription regulator	 	0.390	 	1.12E-02	CDH11,ID2,IGFBP4,PTGS2,PTPRN,SERPINE1,THBS1	 
Palbo14 vs Cycling0	WBP2	 	transcription regulator	 	1.342	 	1.12E-02	KRT86,PTGS2,RARRES2,SPRY1,TAGLN	 
Palbo14 vs Cycling0	IRF2	 	transcription regulator	 	0.594	bias	1.12E-02	ANG,C1S,CA12,PTGS2,TNFSF10	 
Palbo14 vs Cycling0	MAFB	 	transcription regulator	Inhibited	-2.236	 	1.12E-02	DEPP1,EFNA3,EGLN3,FPR1,TAGLN	 
Doxo21 vs Doxo3	NFIL3	 	transcription regulator	 	 	 	1.13E-02	ID2,PTGS2	 
